"표준코드","시설명","소재지","착공년도","준공년도","종별","구분","유역면적","홍수면적","만수면적","수혜면적","한발빈도","홍수빈도","제체형식","제체체적","제체길이","제체높이","총저수량","유효저수량","사수량","취수형식","홍수위","만수위","사수위"
"4785010167","도속","경상북도 칠곡군 북삼읍 오평리","1972-01-01","1972-12-30","2","보조수원","28","2","2","7","10","100","필댐(죤형)","2090","95","6","36","36","0","사통형","53","53","49"
"4785010168","곤산","경상북도 칠곡군 약목면 복성리","1948-01-01","1952-01-01","2","보조수원","34","0","0","4","3","100","필댐(죤형)","960","48","5","2","2","0","사통형","113","113","108"
"4785010171","용화","경상북도 칠곡군 약목면 남계리","1934-01-01","1936-03-31","2","주수원","60","2","2","22","3","100","필댐(죤형)","7740","200","5","36","36","0","사통형","52","52","48"
"4785010172","남계","경상북도 칠곡군 약목면 남계리","1934-11-05","1936-03-31","2","주수원","260","9","8","81","3","100","필댐(죤형)","65008","382","8","222","222","0","사통형","50","50","43"
"4785010173","호암","경상북도 칠곡군 약목면 남계리","1945-01-01","1948-01-01","2","주수원","95","3","3","12","3","100","필댐(죤형)","18850","236","7","74","74","0","사통형","85","85","79"
"4785010174","두만","경상북도 칠곡군 약목면 남계리","1970-08-13","1972-12-31","1","주수원","470","7","6","149","3","100","필댐(죤형)","43659","189","24","369","369","0","사통형","107","107","89"
"4785010176","내야","경상북도 칠곡군 약목면 관호리","1948-05-01","1952-10-31","2","주수원","140","4","4","30","10","100","필댐(죤형)","4598","108","7","52","52","0","사통형","54","53","46"
"4785010177","평죽","경상북도 칠곡군 기산면 평복리","1945-01-01","1948-03-31","2","주수원","114","3","3","19","10","100","필댐(죤형)","9186","173","10","43","43","0","사통형","76","75","69"
"4785010189","각산","경상북도 칠곡군 기산면 각산리","1972-01-01","1973-06-20","2","주수원","212","2","2","17","10","100","필댐(죤형)","17523","102","14","20","20","0","사통형","140","139","133"
"4785010191","노곡","경상북도 칠곡군 기산면 노석리","1967-01-01","1967-12-30","2","보조수원","45","1","1","10","3","100","필댐(죤형)","3000","100","4","12","12","0","사통형","77","77","72"
"4790010004","외석정","경상북도 예천군 예천읍 석정리","1945-01-01","1945-12-31","2","보조수원","9","1","1","9","10","50","필댐(죤형)","1000","86","5","7","7","0","사통형","102","101","98"
"4790010017","성현","경상북도 예천군 용문면 성현리","1961-01-01","1961-12-31","2","보조수원","10","1","0","8","10","50","필댐(죤형)","605","42","6","4","4","0","사통형","163","162","159"
