sigungu,well_count,groundwater_well_count,drilling_developed_well_count,unknown_well_count,total_pump_capacity,pump_capacity_valid_count,well_depth_sum,well_depth_valid_count,public_like_well_count,record_used_count,source_zip,source_type,year,snapshot_score,avg_pump_capacity,avg_well_depth,well_count_index,pump_capacity_index,well_support_score,well_shortage_score,well_support_level
청양군,138,0,138,0,0.0,0,0.0,0,0,138,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,21.73144876325088,50.0,33.03886925795053,66.96113074204948,낮음
홍성군,248,0,248,0,0.0,0,0.0,0,0,248,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,41.1660777385159,50.0,44.699646643109546,55.30035335689045,보통
예산군,581,0,581,0,0.0,0,0.0,0,0,581,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,100.0,50.0,80.0,20.0,매우높음
태안군,142,0,142,0,0.0,0,0.0,0,0,142,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,22.43816254416961,50.0,33.46289752650176,66.53710247349824,낮음
천안시,184,0,184,0,0.0,0,0.0,0,0,184,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,29.858657243816257,50.0,37.91519434628975,62.08480565371025,낮음
공주시,432,0,432,0,0.0,0,0.0,0,0,432,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,73.67491166077738,50.0,64.20494699646642,35.79505300353358,높음
보령시,260,0,260,0,0.0,0,0.0,0,0,260,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,43.28621908127209,50.0,45.97173144876325,54.02826855123675,보통
아산시,247,0,247,0,0.0,0,0.0,0,0,247,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,40.98939929328622,50.0,44.593639575971736,55.40636042402826,보통
서산시,332,0,332,0,0.0,0,0.0,0,0,332,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,56.00706713780919,50.0,53.60424028268551,46.39575971731449,보통
논산시,216,0,216,0,0.0,0,0.0,0,0,216,한국농어촌공사_시추개발관정_2024.zip,drilling_developed_well,2024,20240101,,,35.51236749116608,50.0,41.30742049469965,58.69257950530035,보통
