sigungu,source_zip,source_type,source_dbf,well_id,pnu,si_do,si_gun_gu,address,well_use,well_depth,pump_capacity,public_private,dev_date,year,snapshot_score
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600327,4415025026103590002,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600121,4415025026201030001,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600157,4415025026103530002,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600148,4415025026201060001,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600336,4415025026103880003,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600318,4415025026103440002,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600325,4415025026103600001,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600359,4415025026103720006,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600317,4415025026103440002,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600228,4415025026106620007,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600364,4415025026103700004,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600166,4415025026103370002,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600227,4415025026106620007,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600110,4415025026107960003,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600194,4415025026200600002,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600155,4415025026108610065,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700119,4415025027101600000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700109,4415025027100430000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700013,4415025027102690004,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700046,4415025027103050001,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700032,4415025027102380005,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700007,4415025027103010001,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700131,4415025027201060001,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700091,4415025027100880005,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700094,4415025027100660000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700077,4415025027105130004,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700001,4415025027102490001,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700052,4415025027102500003,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700040,4415025027103090001,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700132,4415025027101330000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700121,4415025027101540000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700116,4415025027101450000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700080,4415025027103460003,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700085,4415025027104550000,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700068,4415025027104850003,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700002,4415025027102480001,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700054,4415025027103550005,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700157,4415025027105290002,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502700014,4415025027102690005,충청남도,공주시,충청남도 공주시 유구읍 신달리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300021,4415025033105650002,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502503300022,4415025033105660000,충청남도,공주시,충청남도 공주시 유구읍 추계리,3.0,30.0,,2.0,,2023,20231231
