date,sigungu,drought_stage_score,avg_reservoir_rate_from_drought,avg_normal_rate,avg_normal_ratio,normal_ratio_deficit_score,avg_rainfall,record_count,reservoir_rate_risk_from_drought,weather_drought_risk_score,weather_drought_level
2023-01-03,논산시,0,91.6,79.6,115.0,0.0,,1,8.400000000000006,2.800000000000002,낮음
2023-01-03,당진시,0,75.3,80.8,93.1,6.900000000000006,,1,24.700000000000003,10.533333333333337,낮음
2023-01-03,보령시,0,91.8,81.1,113.1,0.0,,1,8.200000000000003,2.7333333333333343,낮음
2023-01-03,부여군,0,95.4,74.5,128.1,0.0,,1,4.599999999999994,1.5333333333333314,낮음
2023-01-03,서산시,0,94.8,81.5,116.4,0.0,,1,5.200000000000003,1.7333333333333343,낮음
2023-01-03,서천군,0,92.4,79.7,115.9,0.0,,1,7.599999999999994,2.5333333333333314,낮음
2023-01-03,아산시,0,98.2,85.4,115.0,0.0,,1,1.7999999999999972,0.5999999999999991,낮음
2023-01-03,예산군,0,98.6,85.2,115.8,0.0,,1,1.4000000000000057,0.46666666666666856,낮음
2023-01-03,천안시,0,94.1,82.1,114.6,0.0,,1,5.900000000000006,1.9666666666666686,낮음
2023-01-03,청양군,0,97.6,79.7,122.4,0.0,,1,2.4000000000000057,0.8000000000000019,낮음
2023-01-03,태안군,0,93.1,86.5,107.6,0.0,,1,6.900000000000006,2.300000000000002,낮음
2023-01-03,홍성군,0,92.5,79.2,116.8,0.0,,1,7.5,2.5,낮음
2023-01-04,계룡시,0,96.0,100.0,96.0,4.0,,1,4.0,2.6666666666666665,낮음
2023-01-04,공주시,0,94.1,71.3,132.0,0.0,,1,5.900000000000006,1.9666666666666686,낮음
2023-01-04,금산군,0,88.6,71.2,124.4,0.0,,1,11.400000000000006,3.800000000000002,낮음
2023-01-04,논산시,0,91.5,79.7,114.9,0.0,,1,8.5,2.8333333333333335,낮음
2023-01-04,당진시,0,75.3,80.8,93.1,6.900000000000006,,1,24.700000000000003,10.533333333333337,낮음
2023-01-04,보령시,0,91.9,81.2,113.2,0.0,,1,8.099999999999994,2.699999999999998,낮음
2023-01-04,부여군,0,95.7,74.5,128.5,0.0,,1,4.299999999999997,1.4333333333333325,낮음
2023-01-04,서산시,0,94.9,81.5,116.4,0.0,,1,5.099999999999994,1.6999999999999982,낮음
2023-01-04,서천군,0,92.4,79.8,115.8,0.0,,1,7.599999999999994,2.5333333333333314,낮음
2023-01-04,아산시,0,98.2,85.5,114.9,0.0,,1,1.7999999999999972,0.5999999999999991,낮음
2023-01-04,예산군,0,97.6,85.2,114.5,0.0,,1,2.4000000000000057,0.8000000000000019,낮음
2023-01-04,천안시,0,94.1,82.1,114.6,0.0,,1,5.900000000000006,1.9666666666666686,낮음
2023-01-04,청양군,0,97.6,79.7,122.4,0.0,,1,2.4000000000000057,0.8000000000000019,낮음
2023-01-04,태안군,0,93.0,86.5,107.6,0.0,,1,7.0,2.3333333333333335,낮음
2023-01-04,홍성군,0,92.5,79.3,116.7,0.0,,1,7.5,2.5,낮음
2023-01-05,계룡시,0,96.0,100.0,96.0,4.0,,1,4.0,2.6666666666666665,낮음
2023-01-05,공주시,0,94.2,71.4,132.1,0.0,,1,5.799999999999997,1.9333333333333325,낮음
2023-01-05,금산군,0,88.7,71.2,124.5,0.0,,1,11.299999999999997,3.7666666666666657,낮음
2023-01-05,논산시,0,91.5,79.8,114.7,0.0,,1,8.5,2.8333333333333335,낮음
2023-01-05,당진시,0,75.3,80.9,93.1,6.900000000000006,,1,24.700000000000003,10.533333333333337,낮음
2023-01-05,보령시,0,92.0,81.3,113.1,0.0,,1,8.0,2.6666666666666665,낮음
2023-01-05,부여군,0,95.7,74.5,128.4,0.0,,1,4.299999999999997,1.4333333333333325,낮음
2023-01-05,서산시,0,95.0,81.6,116.4,0.0,,1,5.0,1.6666666666666667,낮음
2023-01-05,서천군,0,92.4,79.8,115.8,0.0,,1,7.599999999999994,2.5333333333333314,낮음
2023-01-05,아산시,0,98.2,85.6,114.7,0.0,,1,1.7999999999999972,0.5999999999999991,낮음
2023-01-05,예산군,0,97.6,85.2,114.6,0.0,,1,2.4000000000000057,0.8000000000000019,낮음
2023-01-05,천안시,0,94.1,82.2,114.5,0.0,,1,5.900000000000006,1.9666666666666686,낮음
2023-01-05,청양군,0,97.6,79.8,122.4,0.0,,1,2.4000000000000057,0.8000000000000019,낮음
